"kvzId","externalOrderNo"
"77611A59",2130
"77611A949",2130
"8218A97",1981
"73041A17",2140
"60311A26",2142
"92819A6",2134
"92819A26",2134
"92819A519",2134
"92815A3",2134
"92819A15",2134
"92815A18",2134
"92811A23",2134
"6212A635",2122
"ohne (gemäß Abspr. Gina)",2143
"8515A70",2136
"330552A4",2155
"33055A2",2155
"33013A28",2155
"34412A201",2139
"63051A3",2158
"92816A30",2134
"92816A8",2134
"92819A529",2134
"92816A11",2134
"62336A20",2156
"61322A53",2138
"33013A563",2154
"33013A66",2154
"33013A29",2154
"6816A72",2141
"39312A103",2152
"55421R2",2135
"55421A3",2135
"20831A17",2148
"62323A1",2162
"62323A14",2162
"62323A2",2162
"62323A57",2162
"61322A3",2138
"61328R3",2138
"61322A47",2137
"61322V9004",2160
"61322A553",2160
"61322A517",2160
"61322R54",2160
"61328A25",2160
"20844A31",2150
"62321A584",2168
"62321A53",2161
"330511V1024",2176
"330552A17",2176
"330552A24",2176
"64317V5012",2176
"94041A9",2098
"62336A23",2170
"23316A84",2151
"21737A56",2165
"21737A542",2165
"25531R18",2166
"33013A577",2154
"33708215A",2174
"56513A16",2135
"20961A32",2178
"25621A626",2183
"76151R33",18109
"76121A169",2059
"64322A24",2180
"2611V1042",2184
"2611A38",2184
"64312A11",2181
"33013A49",2154
"33422A23",1911
"62331A11",2101
"23316A517",2151
"23316A61",2151
"95421V1014",2177
"3654A27",2195
"3654A28",2195
"59211A39",2212
"36612R23",2194
"98252A1",2203
"98252A19",2203
"2611A53",2210
"64312A43",2209
"22735A5",2172
"337082A25",2197
"64317A23",2211
"99713V3028",2220
"21291A16",2221
"6311A17",2216
"39156A10",2225
"39156A61",2225
"96331R7",2226
"96331R23",2226
"33852A692",2191
"91424A532",2188
"96331V1012",2215
"96331A35",2215
"62151R30",2229
"62151A9",2229
"62011A47",1414
"24312A40",2192
"62011A28",2219
"62149A15",2205
"22731V1001",2171
"22731A26",2171
"62031A24",2205
"39161A111",2222
"39161V6129",2222
"39161V6127",2222
"75415A11",2227
"62323A13",2229
"62041A111",2230
"68185A18",2067
"35351A509",2237
"35351R8",2237
"35351A30",2237
"92811A3",2089
"92811A38",2242
"92811A525",2090
"96311A7",2208
"343611V1037",2244
"96331A32",2215
"34352A30",2244
"34352A27",2244
"34352A29",2244
"34352V2094",2244
"34352V2070",2244
"34212A39",2244
"62041A36",2230
"22345A85",2231
"21814A51",2119
"343621A7",2247
"34352A24",2247
"34352V2044",2247
"6413A2",2254
"64621R8",2254
"92811A535",2251
"63192A82",2255
"2611A8",2250
"2611A10",2250
"73451A545",2076
"79411A3",2253
"61424V9001",2240
"64415A14",2254
"64413A41",2254
"22721A42",2258
"22721A39",2259
"22721A1",2259
"352651A28",2244
"34317R67",2244
"35255A139",2244
"35251A45",2244
"3743V1063",2249
"34212A54",2244
"37141A37",1889
"3717A37",2202
"3717R3",2202
"82157A65",2200
"82211A59",2264
"82211A508",2264
"82211A14",2264
"59213A13",2213
"59213A101",2212
"3718R40",2248
"3718A17",2248
"24312A8",2192
"3658A337",1892
"37222A67",2248
7272181,2257
"36342A59",2265
"36342A5",2265
"36342A39",2265
"36432A19",2250
"3653A23",2271
"343611A13",2266
"34212A42",2266
"39173A129",2268
"82131R164",2200
"23152R126",2277
"23152A58",2277
"62014A10",2068
"23065V5010",2277
"23065A113",2277
"96612A1",2270
"95616A51",2201
"95616A27",2201
"92816A21",1329
"21521A503",2261
"21521A28",2261
"35251A210",2269
"35251A40",2272
"36342A561",2281
"36342A50",2273
"AUTO",2278
"92351V1016",2278
"33043A13",2276
"33423A72",2283
"33028A43",2284
"33028V9025",2284
"33028A34",2284
"33028V1007",2284
"28212A83",2287
"74222A515",2182
"92871A2",2275
"6212A96",1854
"6212V2024",1854
"3652A79",2290
"3658R356",2290
"21581R63",2288
"23244A529",2286
"23244A24",2286
"33423R70",2292
"92871A30",2236
"92871A34",2243
"39173A42",2282
"23076A24",2304
"23187A562",2303
"92821R511",2297
"35251A52",2299
"35251A17",2299
"35251A540",2299
"23078A48",2304
"23663A31",2234
"9216A111",2293
"79514A49",2291
"79514A511",2291
"79512A14",2291
"79514A24",2291
"36772A998",2267
"36772V3015",2267
"36772A165",2267
"73921A26",2298
"38741A44",2301
621856,2205
"91811A7",2207
"33043A22",2300
"33043A522",2300
"33043A69",2300
"36212A2",2309
"23064A20",2306
"92531A503",2294
"92531R510",2294
"92531R313",2294
"92531V1010",2294
"23061R57",2306
"23516A28",1591
"338412A609",2173
"9211A46",2293
"21291A534",2307
"21291A27",2307
"21291A44",2307
"21291A41",2307
"23071A51",2310
"23077A510",2310
"39916A16",2279
"39916A525",2305
"6116A42",2263
"6113A210",2263
"6113A90",2263
"61140A127",2263
"61146A16",2263
"6112R57",2263
"42021A38",2315
"42021A49",2314
"703127V1001",2256
"28458A2",2289
"367780A155",2246
"367780A135",2246
"8416A66",2316
"8417A521",2316
"8413A38",2316
"21521R55",2199
"62414A576",2318
"366282A65",2311
"6113A86",2263
"6117R85",2263
"6117A42",2263
"21591A23",2331
"73921A40",2321
"73921A102",2321
"23061A54",2306
"703127A102",2256
"33013A18",2335
"6215A7",2308
"62151A81",2308
"6212A555",2308
"6212A22",2308
"35178A10",2320
"21291A82",2333
"63411A126",2328
"83622A1",2324
"63221A34",2338
"26031A9",2340
"23891V1800",2332
"38312A1",2319
"82221A2",2339
"39916A505",2323
"38771A27",2329
"92821A28",2187
"39156A42",2282
"20433A504",2342
"20433A40",2342
"63241A4",2344
"21521A45",2260
"214216B",2343
"2144A528",2343
"AUTO",2350
